timestamp,session_id,recommendation_tracking_id,course_name,course_rank,course_url,feedback_text
2026-04-21T15:54:16,session_23371a6f6a73,track_session_23371a6f6a73_3ed9b22a7a,Generative AI: Enhance your Data Analytics Career,5,https://www.coursera.org/learn/generative-ai-enhance-your-data-analytics-career,thanks.....this is what I needed!
2026-04-21T15:54:52,session_23371a6f6a73,track_session_23371a6f6a73_61c649b95a,Data Visualization and Reporting with Generative AI,1,https://www.coursera.org/learn/data-visualization-and-reporting-with-generative-ai,I did not like this one course at top!
2026-04-21T16:11:14,session_52472288e1d4,track_session_52472288e1d4_2667be94cb,Data Analytics with Skills.AI: Create Data Visualizations,2,https://www.coursera.org/learn/data-analytics-with-skills-ai-create-data-visualizations,I love skills.ai
2026-04-21T17:07:55,session_25b679fd5eff,track_session_25b679fd5eff_28ce946434,AI For Everyone,1,https://www.coursera.org/learn/ai-for-everyone,great suggestion
2026-04-21T17:12:31,session_a3330bd80a14,track_session_a3330bd80a14_2b1da10f82,"Time Series Mastery: Forecasting with ETS, ARIMA, Python",1,https://www.coursera.org/learn/time-series-mastery-forecasting-with-ets-arima-python,Perfect! I really wanted to deep dive into ARIMA
2026-04-21T17:12:44,session_a3330bd80a14,track_session_a3330bd80a14_ad657490d4,BI Dashboards with IBM Cognos Analytics and Google Looker,2,https://www.coursera.org/learn/bi-dashboards-with-ibm-cognos-analytics-and-google-looker,Seems irrelevant
2026-04-21T17:13:08,session_a3330bd80a14,track_session_a3330bd80a14_9434d1753b,Practical AI and prompting for finance professionals,5,https://www.coursera.org/learn/practical-ai-and-prompting-for-finance-professionals,great suggestion
2026-04-21T17:29:36,session_b2d0856444c0,track_session_b2d0856444c0_7b6eb5b14e,AI for Knowledge Workers,5,https://www.coursera.org/learn/ai-for-knowledge-workers,great course
2026-04-21T17:34:27,session_9556d2b1eb4f,track_session_9556d2b1eb4f_26aebae8e6,Microsoft Copilot in Excel: Smarter Data Analysis Made Easy,2,https://www.coursera.org/learn/microsoft-copilot-in-excel-smarter-data-analysis-made-easy,wow thats amazing
